Symbol,Strategy,Total Trades,Win Rate (%),Net Return (%)
GER40,Normal (1:2),17,64.71,16.0
GER40,PRO (1:3),17,88.24,13.0
GER40,Trailing SL,17,88.24,16.28
NAS100,Normal (1:2),99,54.55,63.0
NAS100,PRO (1:3),99,72.73,57.0
NAS100,Trailing SL,99,71.72,51.16
US30,Normal (1:2),31,38.71,5.0
US30,PRO (1:3),31,61.29,9.5
US30,Trailing SL,31,61.29,9.97
EURUSD,Normal (1:2),21,57.14,15.0
EURUSD,PRO (1:3),21,95.24,15.0
EURUSD,Trailing SL,21,95.24,14.69
GBPUSD,Normal (1:2),9,44.44,3.0
GBPUSD,PRO (1:3),9,66.67,3.0
GBPUSD,Trailing SL,9,66.67,4.2
USDJPY,Normal (1:2),32,56.25,22.0
USDJPY,PRO (1:3),32,78.12,29.5
USDJPY,Trailing SL,32,78.12,28.99
XAUUSD,Normal (1:2),72,48.61,33.0
XAUUSD,PRO (1:3),72,68.06,28.5
XAUUSD,Trailing SL,72,68.06,26.05
